Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1597780320,-7.0,2020-08-18 12:52:00,8.51,8.51,8.51,8.51,138
1597780380,-7.0,2020-08-18 12:53:00,8.52,8.52,8.52,8.52,213
1597780440,-7.0,2020-08-18 12:54:00,8.52,8.52,8.51,8.52,4370
1597780620,-7.0,2020-08-18 12:57:00,8.53,8.53,8.53,8.53,211
1597780740,-7.0,2020-08-18 12:59:00,8.52,8.52,8.52,8.52,371
1597843800,-7.0,2020-08-19 06:30:00,8.52,8.52,8.52,8.52,300
1597843980,-7.0,2020-08-19 06:33:00,8.52,8.52,8.52,8.52,450
1597849680,-7.0,2020-08-19 08:08:00,8.52,8.52,8.52,8.52,2486
1597849740,-7.0,2020-08-19 08:09:00,8.52,8.52,8.52,8.52,514
1597851180,-7.0,2020-08-19 08:33:00,8.56,8.56,8.56,8.56,100
1597852680,-7.0,2020-08-19 08:58:00,8.551,8.551,8.55,8.55,3800
1597853940,-7.0,2020-08-19 09:19:00,8.515,8.515,8.515,8.515,1000
1597854300,-7.0,2020-08-19 09:25:00,8.5144,8.5144,8.5144,8.5144,210
1597856160,-7.0,2020-08-19 09:56:00,8.52,8.52,8.52,8.52,1000
1597856220,-7.0,2020-08-19 09:57:00,8.52,8.52,8.52,8.52,300
1597858800,-7.0,2020-08-19 10:40:00,8.52,8.52,8.52,8.52,296
1597859160,-7.0,2020-08-19 10:46:00,8.52,8.52,8.52,8.52,592
1597863600,-7.0,2020-08-19 12:00:00,8.52,8.52,8.52,8.52,111
1597863660,-7.0,2020-08-19 12:01:00,8.5,8.5,8.5,8.5,1000
1597864380,-7.0,2020-08-19 12:13:00,8.48,8.48,8.48,8.48,100
1597864620,-7.0,2020-08-19 12:17:00,8.47,8.47,8.47,8.47,2000
1597864680,-7.0,2020-08-19 12:18:00,8.46,8.46,8.46,8.46,11550
1597866300,-7.0,2020-08-19 12:45:00,8.48,8.48,8.48,8.48,1355
1597866360,-7.0,2020-08-19 12:46:00,8.48,8.48,8.47,8.47,198996
1597866540,-7.0,2020-08-19 12:49:00,8.47,8.47,8.47,8.47,114200
1597866960,-7.0,2020-08-19 12:56:00,8.46,8.46,8.46,8.46,52329
1597867140,-7.0,2020-08-19 12:59:00,8.46,8.46,8.46,8.46,30000
1597936440,-7.0,2020-08-20 08:14:00,8.35,8.35,8.34,8.34,72056
1597936500,-7.0,2020-08-20 08:15:00,8.34,8.34,8.34,8.34,21970
1597936560,-7.0,2020-08-20 08:16:00,8.34,8.34,8.34,8.34,43940
1597936680,-7.0,2020-08-20 08:18:00,8.34,8.34,8.34,8.34,30000
1597936740,-7.0,2020-08-20 08:19:00,8.34,8.34,8.34,8.34,4800
1597937100,-7.0,2020-08-20 08:25:00,8.33,8.33,8.33,8.33,100
1597938000,-7.0,2020-08-20 08:40:00,8.335,8.335,8.335,8.335,100
1597938420,-7.0,2020-08-20 08:47:00,8.34,8.34,8.34,8.34,3538
1597938900,-7.0,2020-08-20 08:55:00,8.36,8.36,8.36,8.36,60000
1597940280,-7.0,2020-08-20 09:18:00,8.3939,8.3939,8.3939,8.3939,359
1597941000,-7.0,2020-08-20 09:30:00,8.39,8.39,8.39,8.39,300
1597942560,-7.0,2020-08-20 09:56:00,8.38,8.38,8.38,8.38,60000
